alpha,average_per_model_size,dataset,model_name,num_layers,num_neurons,num_nonzero_parameters,num_trainable_parameters,setting,source_tree_depth,source_tree_num_leaves,source_tree_num_nodes,total_ensemble_size
,0,diabetes,source_tree,0,57.0,0,0,single_tree,5.0,29.0,57.0,0
0.5,337.0,diabetes,coexplain_soft,3,58,85,337,single_tree,5.0,29.0,57.0,337
1.0,337.0,diabetes,coexplain_soft,3,58,85,337,single_tree,5.0,29.0,57.0,337
2.0,337.0,diabetes,coexplain_soft,3,58,85,337,single_tree,5.0,29.0,57.0,337
5.0,337.0,diabetes,coexplain_soft,3,58,130,337,single_tree,5.0,29.0,57.0,337
10.0,337.0,diabetes,coexplain_soft,3,58,316,337,single_tree,5.0,29.0,57.0,337
20.0,337.0,diabetes,coexplain_soft,3,58,327,337,single_tree,5.0,29.0,57.0,337
50.0,337.0,diabetes,coexplain_soft,3,58,337,337,single_tree,5.0,29.0,57.0,337
100.0,337.0,diabetes,coexplain_soft,3,58,337,337,single_tree,5.0,29.0,57.0,337
0.5,337.0,diabetes,same_arch_random,3,58,309,337,single_tree,5.0,29.0,57.0,337
1.0,337.0,diabetes,same_arch_random,3,58,309,337,single_tree,5.0,29.0,57.0,337
2.0,337.0,diabetes,same_arch_random,3,58,309,337,single_tree,5.0,29.0,57.0,337
5.0,337.0,diabetes,same_arch_random,3,58,309,337,single_tree,5.0,29.0,57.0,337
10.0,337.0,diabetes,same_arch_random,3,58,309,337,single_tree,5.0,29.0,57.0,337
20.0,337.0,diabetes,same_arch_random,3,58,309,337,single_tree,5.0,29.0,57.0,337
50.0,337.0,diabetes,same_arch_random,3,58,309,337,single_tree,5.0,29.0,57.0,337
100.0,337.0,diabetes,same_arch_random,3,58,309,337,single_tree,5.0,29.0,57.0,337
,1711.0,diabetes,djinn,5,90,998,1711,single_tree,5.0,29.0,57.0,1711
0.5,337.0,diabetes,path_expansion,3,58,337,337,single_tree,5.0,29.0,57.0,337
1.0,337.0,diabetes,path_expansion,3,58,337,337,single_tree,5.0,29.0,57.0,337
2.0,337.0,diabetes,path_expansion,3,58,337,337,single_tree,5.0,29.0,57.0,337
5.0,337.0,diabetes,path_expansion,3,58,337,337,single_tree,5.0,29.0,57.0,337
