alpha,area_under_train_loss_curve,area_under_val_loss_curve,best_epoch,best_val_loss,dataset,ensemble_size,fidelity_final,fidelity_initial,final_test_accuracy,final_test_cross_entropy,final_test_explained_variance,final_test_macro_f1,final_test_mae,final_test_mse,final_test_precision_macro,final_test_r2,final_test_recall_macro,init_seed,initial_test_accuracy,initial_test_cross_entropy,initial_test_explained_variance,initial_test_macro_f1,initial_test_mae,initial_test_mse,initial_test_precision_macro,initial_test_r2,initial_test_recall_macro,initial_train_loss,initial_val_loss,model_name,setting,split_seed,task,training_time_total
,,,,,diabetes,0,,,,,0.09387586548671578,,53.9612457914646,4647.551555586217,,0.09367829750183065,,0,,,0.09387586548671578,,53.9612457914646,4647.551555586217,,0.09367829750183065,,,,source_tree,single_tree,0,regression,0.0
0.5,50.0,44.25976872444153,0,0.8851953744888306,diabetes,1,3115.588063083698,3115.588063083698,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,coexplain_soft,single_tree,0,regression,1.4224999999999999
1.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,1,3115.588063083698,3115.588063083698,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,coexplain_soft,single_tree,0,regression,0.19157770800000007
2.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,1,3115.588063083698,3115.588063083698,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,coexplain_soft,single_tree,0,regression,0.19356941699999997
5.0,49.991214752197266,44.256351947784424,49,0.8850633502006531,diabetes,1,3113.293781858364,3115.0532052427466,,,0.0008330936822735779,,59.40251142523262,5123.889352888842,,0.0007873896222537757,,0,,,0.00016356744855339223,,59.460843375559605,5127.38251589039,,0.00010618589577515714,,0.9999239444732666,0.8851742148399353,coexplain_soft,single_tree,0,regression,0.1978597500000001
10.0,42.86181378364563,38.58809071779251,49,0.7460558414459229,diabetes,1,2616.310298884144,2795.5888161738512,,,0.07276549926529141,,57.08237157243021,4757.518223028406,,0.07223363442230857,,0,,,0.041927870056277405,,58.12261482838834,4913.107984905842,,0.04189198545091666,,0.8825153708457947,0.7935610413551331,coexplain_soft,single_tree,0,regression,0.19529062500000016
20.0,28.607363879680634,23.703716307878494,49,0.4634111523628235,diabetes,1,1285.5260785712467,1438.9973381982059,,,0.24045250270916851,,51.330328952060654,3925.4526645512324,,0.23449521765158854,,0,,,0.22783542815629287,,51.85360031985165,3994.462511024362,,0.22103756779088135,,0.6030597686767578,0.4871915280818939,coexplain_soft,single_tree,0,regression,0.1930540409999999
50.0,20.14474394917488,15.528214782476425,38,0.31046485900878906,diabetes,1,369.4553180180512,386.6375136124204,,,0.2598788690841861,,49.59783965550112,3800.8448866263825,,0.2587950521090717,,0,,,0.2664468661890812,,49.59050952182727,3769.532059767755,,0.2649013844884146,,0.4086150527000427,0.31080493330955505,coexplain_soft,single_tree,0,regression,0.1846397500000001
100.0,18.11084035038948,13.691356778144836,0,0.2723315954208374,diabetes,1,181.19809947673525,185.35095833887627,,,0.18639044106378655,,51.217891350221095,4172.130453824406,,0.18639044005663674,,0,,,0.18950691106896134,,51.15501228075349,4156.293928168541,,0.18947873003522275,,0.3644973933696747,0.2722793221473694,coexplain_soft,single_tree,0,regression,0.21325887499999974
0.5,50.0,44.25976872444153,0,0.8851953744888306,diabetes,1,3115.588063083698,3115.588063083698,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,single_tree,0,regression,0.18379737500000015
1.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,1,3115.588063083698,3115.588063083698,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,single_tree,0,regression,0.17934783300000046
2.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,1,3115.588063083698,3115.588063083698,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,single_tree,0,regression,0.18141904199999992
5.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,1,3115.588063083698,3115.588063083698,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,single_tree,0,regression,0.18082512500000014
10.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,1,3115.588063083698,3115.588063083698,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,single_tree,0,regression,0.17992404199999967
20.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,1,3115.588063083698,3115.588063083698,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,single_tree,0,regression,0.18002037500000068
50.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,1,3115.588063083698,3115.588063083698,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,single_tree,0,regression,0.18120600000000042
100.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,1,3115.588063083698,3115.588063083698,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,single_tree,0,regression,0.19370016700000026
,46.66622722148895,41.682613492012024,49,0.7641741633415222,diabetes,1,2532.985543078687,3318.256732660826,,,0.12568139405840573,,56.24952372004477,4516.575517067167,,0.11922001012132133,,0,,,-0.013527226007764792,,59.28353161758251,5308.011259247836,,-0.035118329258457814,,1.0399328470230103,0.8596425652503967,djinn,single_tree,0,regression,0.2322720829999998
0.5,51.27087742090225,51.12491536140442,49,0.9437575936317444,diabetes,1,3115.3724579450236,3864.888351981615,,,0.024335095258314343,,60.855365195970855,5211.8349625573155,,-0.016362934312542654,,0,,,0.03683143661692556,,65.52471426631628,5962.3719868771495,,-0.16272559119406727,,1.1029008626937866,1.1539230346679688,path_expansion,single_tree,0,regression,0.17536795799999982
1.0,47.62215459346771,47.34450352191925,49,0.876015305519104,diabetes,1,2832.7643967429967,3478.3942911660147,,,0.06988546094736225,,59.29237057117933,4944.287172226411,,0.035811714194770916,,0,,,0.07269819694859336,,63.427497092257724,5591.051620365801,,-0.0903141929075213,,1.0208206176757812,1.0632214546203613,path_expansion,single_tree,0,regression,0.17516137500000006
2.0,41.03688794374466,40.50803995132446,49,0.7485323548316956,diabetes,1,2312.517870306331,2817.516793891805,,,0.1561018284570328,,56.17223229568996,4452.674820039568,,0.13168132180946446,,0,,,0.13805396433991957,,59.787909861361044,4959.769355986113,,0.03279252463320126,,0.8787017464637756,0.9034808278083801,path_expansion,single_tree,0,regression,0.17752245800000033
5.0,29.588586151599884,28.21166467666626,49,0.525455117225647,diabetes,1,1446.3106158714938,1695.8567681420157,,,0.2926260774687163,,49.67801126201501,3666.175018043274,,0.2850571006543411,,0,,,0.2601183798091369,,52.26498918854789,3921.068726344694,,0.23535013196323729,,0.6306245923042297,0.6149269342422485,path_expansion,single_tree,0,regression,0.1778468749999993
